ibsym,Desc,Display,filename,ibexch,c2sym,ibtype,currency,CSImultiplier,IB2CSI_mult,CSIsym2,CSIsym,triggertime,max_margin,MaintMargin_Exchange,InitMarginReq_IB,MaintMarginReq_IB,IB2CSI,Timezone,Months,MultDesc,Rate,Group,Subscribed,signals_OFF,signals_RISKON,signals_RISKOFF,signals_EXCESS,signals_ANTI_EXCESS
RB,Gasoline-Reformulated Blendstock(Combined)-NYMEX,Gasoline,RB2_B.CSV,NYMEX,QRB,FUT,USD,42000,0,RB2,RB,30,4650,4650,3500,2800,1,EST5EDT,FGHJKMNQUVXZ,42K GALLONS,USDUSD,energy,TRUE,0,1,-1,1,-1
ZS,Soybeans (Floor+Electronic Combined)-CBT,Soybeans,S2_B.CSV,ECBOT,@S,FUT,USD,50,0,S2,S,15,2100,2100,1812.5,1450,1,CST,FHKNQUX,5K BUSHELS,USDUSD,grain,TRUE,0,1,-1,-1,1
CHF,Swiss Franc-CME-(Floor+Electronic Combined),Swiss Franc,SF_B.CSV,GLOBEX,@SF,FUT,USD,125000,0,SF,SF,30,5960.31,3300,5960.31,4768.25,1,CST,HMUZ,125K CHF,USDUSD,currency,TRUE,0,1,-1,1,-1
SI,Silver-COMEX(Floor+Electronic Combined),Silver,SI2_B.CSV,NYMEX,QSI,FUT,USD,50,100,SI2,SI,30,6500,6500,6345,4700,100,EST5EDT,HKNUZ,5000 OZ TROY,USDUSD,metal,TRUE,0,-1,1,1,-1
ZM,Soybean Meal-CBT (Floor+Electronic Combined),Soybean Meal,SM2_B.CSV,ECBOT,@SM,FUT,USD,100,0,SM2,SM,15,1800,1800,1500,1200,1,CST,FHKNQUVZ,100 TONS,USDUSD,grain,TRUE,0,1,-1,1,-1
ZT,T-Note-U.S.  2 Yr (Floor+Electronic Combined)-CBT,2 Year T-Note,TU_B.CSV,ECBOT,@TU,FUT,USD,2000,0,TU,TU,30,550,550,453.75,363,1,CST,HMUZ,2000 x PRICE,USDUSD,debt,TRUE,0,-1,1,1,-1
ZN,T-Note-U.S. 10 Yr w/Prj A-CBT(Floor+Electronic Combined),10 Year T-Note,TY3_B.CSV,ECBOT,@TY,FUT,USD,1000,0,TY3,TY,30,1450,1450,1311.25,1049,1,CST,HMUZ,1000 x PRICE,USDUSD,debt,TRUE,0,-1,1,1,-1
ZB,T-Bond-U.S.-CBT(Floor+Electronic Combined),30 Year T-Bond,US_B.CSV,ECBOT,@US,FUT,USD,1000,0,US,US,30,4400,4400,3131.25,2505,1,CST,HMUZ,1000 x PRICE,USDUSD,debt,TRUE,0,-1,1,1,-1
ZW,Wheat-CBT (Floor+Electronic Combined),Wheat,W2_B.CSV,ECBOT,@W,FUT,USD,50,0,W2,W,15,1187.5,1000,1187.5,950,1,CST,HKNUZ,5K BUSHELS,USDUSD,grain,TRUE,0,1,-1,1,-1
YM,DJIA Mini $5 Index-CBT,Dow Jones Industrial Avg.,YM_B.CSV,ECBOT,@YM,FUT,USD,5,0,YM,YM,30,6533.44,4000,6533.44,5226.75,1,CST,HMUZ,$5 x INDEX,USDUSD,index,TRUE,0,1,-1,1,-1
